,TweetID,HandLabel,AnnotatorID,Tweet
0,399745087418404864,Positive,19,"umorni, iscrpljeni, ali jako zadovoljni sa obavljenim poslom. dragi moji, ocekujte uskoro premijerno moj prvi..."
1,399749348667691008,Neutral,19, nisam odavle  a jok samo ne moze pronaci skype!
2,399749474358415360,Neutral,19, tacno nastali smo od sex a o svima nama je !
4,399768280938053632,Negative,19,kad mie lose sjetim se da nasa drzavna televizija pocinje sa radom u 7 i bude mi jos gore.
5,399768510295179264,Neutral,19,cuj 12 stepeni. svasta!
6,399775240701489152,Neutral,19,6 steps to organizing a mooc  via 
8,399777715794235392,Negative,19,život je tako jeftin kada ne dolazite iz bogate države. zamislite naše medije da je 10 000 stradalo u sadu umjesto na filipinima.
11,399780637336694785,Positive,19,dobar jutar svima )
12,399780899749130240,Positive,19,majli se u ovoj pjesmi fura na kayu heheheh+++++
14,399783005235212288,Negative,19,pogranični problemi zbog državnih politika
15,399783782632669185,Positive,19,izglasano povjerenje grčkoj vladi
16,399784292282535936,Negative,19,prisljena sam gledati guten morgen deutschland jer dobro jutro bih ne postoji
19,399784554611097600,Positive,19,"ovaj neki madjionicar putuje svijetom, ali na balkan sigurno nece doci pa mu se ne pika."
20,399785149329838080,Positive,19,studenti poljoprivrede lako do posla
21,399785186487193600,Positive,19,njemacka donirala pola miliona eura za filipine.
22,399785658405101568,Negative,19,njemci izglasali da nece olimpijske zimske igre u njemackoj 2020. to macke!
23,399786509492314112,Negative,19,ubijen zamjenik ministra industrije irana
24,399786746600501248,Negative,19,"ne želim kišno jutro, jebemu"
25,399786869703319552,Neutral,19, ništa lično ofc
26,399787060963573760,Neutral,19,ili je milkos promijenio ljepilo ili mi je ruka oslabila. nikako da skinem zastitni cep iz kutije.
27,399787373472804864,Neutral,19,ok je ako ni sam ne razumiješ šta si htio reći... samo ako si stvitera
28,399787417412321280,Positive,19,"gumene cizme, kabanica, kisobran i u hajd sad u grad;)"
29,399787670639239168,Neutral,19,"to za one, koji nemaju auta"
31,399787813149097984,Neutral,19,licis mi na nekoga ko procita citavu lajnu otkako je bio zadnji put na tviteru.
32,399787862998405120,Neutral,19,"kisa je tu, a vidjet cemo hoce li i snijeg"
34,399788065340022784,Neutral,19,"ja ne mogu prespavati, mene mačak budi"
37,399789622517317632,Negative,19,"i kontam, ionako niko nece  odgovarati za to"
38,399790096636850176,Neutral,19,insistiranja delegacije evropske komisije na bescarinskom uvozu roba iz evropske unije u bosnu i hercegovinu se...
39,399791501934227456,Negative,19,"oj depresivnog vremena, tjera me da spavam cijeli dan i da ne odem u školu. pa tuga !!!"
40,399791754884710400,Neutral,19,"poruka dana"" i ti si vazan, i ti mozes biti dio promijena."""
41,399791809746202624,Neutral,19,"u zadnje vrijeme mi treba 45 0inuta da se spremim a ne radim nista drugacije nego prije kasam se puno brze spremala, porke"
42,399792634732236800,Positive,19," poruka dana"" i ti si vazan, i ti mozes biti dio promijena."""
43,399792839363944448,Neutral,19,dobro jutro mraku
44,399793357200711680,Positive,19,tolerancija – najsigurnija tvrđava | novo vrijeme
45,399794642935627776,Negative,19,"   realno mene bi bilo sramota tu cifru pisati,dodala bih od sebe barem da zaokruzim na 10 da sam ona"
46,399794665886875648,Negative,19, ubijen zamjenik ministra industrije irana
48,399796112514891776,Neutral,19,meteorolozi najavljuju snijeg danas na planinama! jeste li poželjeli pahuljice???
55,399797448014856192,Positive,19,"""tvoje oci kao zrele sljive padaju po meni"" kafa kraj prozora u parkusi gdje se pusta samo ova neka ex domaca muzika"
61,399798916922626048,Negative,19,prokleti reperi...kad će te da shvatite da ste nebitni
63,399799735185588224,Neutral,19,"a joj, pa zar i arsen jutros ono sve sto znas o meni, ...u dvije rijeci sve bi stalo...parkusa kafa"
64,399799776683651072,Neutral,19," eto ti karaktera, ni dan nije prosao"
67,399800711615361024,Negative,19," da, baš. mnogo smo izgubili."
68,399800889403117568,Positive,19,hbo paket 24 mjeseca na poklon za prvih 1000 korisnika trio paketa.
69,399801402270445568,Positive,19,zimsko snizenje cijena na sve usluge do 20%!!!
70,399802183161360384,Negative,19,divno vrijeme za dići ruku na sebe
73,399802792103383040,Negative,19," da, zato smo danas kobajagi ""svoji na svome"", slobodni,nezavisni, i podijeljeni i osiromaseni i rastrkani i...eto,znas)"
74,399803001361408001,Positive,19,dobro jutro )
75,399803166557884416,Positive,19,"ceo winter 2013 alert! sarajevo, 7. i 8. decembar. budite ovdje. prijave u toku"
79,399805396728049664,Positive,19,kanton sarajevo je u oktobru 2013. godine posjetilo 35.149 turista
80,399805862078054400,Positive,19," depp hm, ljepse je u hotelu evropa,bujrum)"
81,399806329776128000,Neutral,19, i držat će )
82,399806392468385792,Neutral,19,nema ovih dobro jutro
84,399807005910896640,Positive,19, 10 sve ok ) možda jeste a možda nije )
87,399807122512175104,Positive,19,na sarajevsku berzu-burzu vrijednosnih papira 8. novembra su uvršteni vrijednosni papiri nekoliko emitenata
88,399807282344501248,Negative,19, i kod nas pomalo ali od jutros pada ono bas... (
92,399808634580131840,Positive,19, odlicno ti je to
93,399808718944346113,Positive,19,"''kraljevi plesnog podija'' od 14. novembra 

battle of the year naziv je međunarodnog plesnog turnira koji..."
94,399808871465627649,Neutral,19,  lijepi strah )
95,399809141683679232,Positive,19, jutro )
96,399809299423055872,Neutral,19,šta sam sve propustio..usro se sebi u pola života.palim za bar kroz koju sedmicu da uzmem što je moje.
98,399809588129587200,Negative,19,"o argentinskom ""prljavom ratu"", katalonskim tenzijama o otcjepljenju, umjetničkim slobodama na kubi. preporučujem."
101,399810436297551872,Neutral,19,jezerica near prokoško lake by a. bubalo
102,399810801583681536,Positive,19,jutro )
103,399811312898682880,Positive,19, mela jutro )
104,399811967784738816,Positive,19,"""želim biti ona žena u tvom životu koju želiš kad sve ostale žele tebe."""
106,399812848182099968,Neutral,19, mery licis mi na nekoga ko procita citavu lajnu otkako je bio zadnji put na tviteru.
108,399813306111631360,Negative,19, ane guzicu bi dali za drstveni status. pa hejjjj
109,399813398873243648,Neutral,19,strujo i mujo josip  via 
110,399813590116360192,Positive,19," ane hihihihihi, bilo jednom jednog 31.12. &lt;3333333"
111,399813602850664448,Negative,19,vec mi od ranih 9 sati zagorcavaju zivot fuck yourself hundred times
112,399813780676169728,Neutral,19,"zasto se danas mora ici u skolu kad je dan za spavanje, zastooo ??!!"
113,399815789504913409,Negative,19, neman te
119,399816969546788864,Negative,19,povrijeđeni messi propušta prijateljski meč sa zmajevima?   bih  brazil brazil2014 wc2014
120,399817870630088705,Negative,19,messi zbog povrede propušta utakmicu protiv zmajeva?
122,399818785772687360,Positive,19,"rukomet bosna iskoristila neočekivan remi čelika, studenti i dalje lideri    "
123,399818790038298624,Neutral,19,"pregled usne šupljine, skidanje kamenca, poliranje i impregnacija po nevjerovatnoj cijeni!

pogledajte ponudu..."
124,399819137880719360,Neutral,19,ovaj blog morate početi pratiti
125,399819321318203392,Positive,19,"šetnja miljenka jergovića kroz staro sarajevo, uživajte kroz žabljak i čajirdžik  starosarajevo"
126,399822304064335872,Neutral,19, ovaj blog morate početi pratiti
127,399824192138256384,Neutral,19, e to ti je kad se kontas hoces li piti drugu kafu ili ne d
131,399824790556798976,Neutral,19," o nitkovima &amp; elitama ovdje ceca pobjeđuje bacha, a kusturica thomasa manna žurnal - jedina slobodna teritorija"
134,399826343602688000,Positive,19,"danas druga godisnjica pocetka emitovanja programa al jazeere balkans. mi se ne okrecemo ni istoku ni zapadu, mi se krecemo uvis "
135,399826855416848384,Positive,19,"  net  mislim da  zna procijeniti situaciju, do sada je to pokazao. ja opet mislim da nema drame"
136,399827915291889664,Positive,19,"dobra prilika za studente, company shuttle  počelo se pisati o nama. jeeej )"
137,399827944119750656,Negative,19,nožem napao staricu dok je palila svijeće na groblju
138,399828376091099136,Positive,19,u emisiji 'opušteno nedjeljom'
139,399828855646466049,Positive,19,"početni kurs salse u plesnom klubu romantik uz 56% popusta

pogledajte ponudu &gt;&gt;&gt;"
140,399829515280457728,Neutral,19,"dođite sutra (12.11.) na projekciju (art kino kriterion, 2020) veselog filma o biseksualnosti ""biti usput""."
142,399830440355192832,Neutral,19,sjećate li se dječije serije 'otvori prozor'?  
143,399831256336433152,Neutral,19, sjećate li se dječije serije 'otvori prozor'?  
144,399831389136121856,Positive,19,"i pridji joj tiho, sasvim lagano s ledja dodirni je usnom, obecaj joj jutro i uzet ce te cijelog"
147,399832622865862656,Negative,19,doživotni zatvor za napad na domodedovo
149,399832839941668864,Neutral,19,damir urban - žena dijete
155,399833992335077377,Positive,19,zašto se konačno ne shvati da svako dijete treba imati zdravstveno osiguranje? | reportaže &amp; teme | edoktor.ba
159,399835464493842432,Positive,19,thor najgledaniji u kanadi i sad -u  
162,399835951608127488,Positive,19,ne zelim da kise ide s prozora niti da ustanem iz kreveta. previse se volimo.
163,399836083888066560,Negative,19,a sta bih bez kafe?! a tek bez cigare!!!
164,399836672625754112,Negative,19,u napadu ubijena dvojica egipatskih vojnika
166,399836691005190144,Negative,19,premijer libije upozorava na intervenciju
167,399836715030155264,Negative,19,u nigeru milion ljudi suočeni s glađu
168,399836734810501120,Positive,19,iaea se nada dogovoru s iranom
170,399837982636515328,Neutral,19,sarajevo 1111 komsic nadleznosti  via 
172,399838812022398976,Negative,19,počeli smo se šamarati?
173,399838915042889728,Positive,19,pa nek neko sad kaže da religija nije dobra za ljude ;)
174,399838924052242435,Positive,19,"u planine, jer tamo nema kiše! )

ponudu pogledajte ovdje &gt;&gt;&gt;"
176,399839425112203265,Neutral,19,sartr i 'nottingham playhouse' nova teatarska scena za mlade  radiosarajevo via 
177,399839711889350656,Negative,19,"hajd' kad izgube ključni dokaz, recimo dokumet, al' izgubiti geler iz glave ubijenog čovjeka?!?
neovisnopravosuđe"
179,399840050797481984,Positive,19, sartr i 'nottingham playhouse' nova teatarska scena za mlade  radiosarajevo via 
180,399840284994846720,Negative,19,  vjerski i nacionalni ponos - zagarantovano loša kombinacija.
181,399840687010873344,Positive,19,minnesota prekinula crni niz protiv lakersa
182,399840752806940672,Positive,19,"nije sabah morning, ali me je na sabahu rasplakala  ličnom pričom u njenom stilu  rijetki su ljudi kao ti &lt;3"
183,399840794162380801,Positive,19," jok, sendvic )"
186,399841216910880768,Neutral,19," eh.. pa ja ti urgirao samo za jučer, trebao si reći da ćeš biti više dana p"
187,399841628850225152,Positive,19,i onda počnem razmišljati da li bih mogla napraviti predavanje o svojih prvih 20 godina. možda je pošten odgovor )
188,399841851089637376,Neutral,19, ima li one jednu platis druga gratis
189,399842239905423360,Neutral,19, nabaci ti sta god drugo p
190,399842282729635840,Positive,19,"uživajte u hladnim danima koji nam dolaze,  ušuškani u topli, mekani i ugodni dormeo merino ogrtač!

sada svoj..."
191,399843047917092864,Neutral,19,sarajevo 1111 komsic psi  via 
192,399843049875836928,Neutral,19, to ono ja kazem sex a ti .....
193,399843313848971264,Positive,19,  šta to nudite? d
195,399843444925153280,Positive,19,premijera
196,399843934459166720,Negative,19, zlico jedna d
198,399844157529018368,Negative,19,  trenutno - neka dobra kafa. jer toga u sarajevu nema za kupiti (
201,399844532021657600,Negative,19,jako nevrijeme zahvatilo hrvatsku
202,399844789572485120,Negative,19,banjalučanin ubio suprugu tvrdim tupim predmetom
205,399845072654848000,Negative,19,"fondacija dogs trust, koja u bh provodi petogodišnji projekt, oštro se protivi predloženim izmjenama zakona o..."
206,399845189994680320,Positive,19,u banjoj luci se održava nova runda strukturalnog dijaloga o reformi pravosuđa između bosne i hercegovine i...
207,399845254003982336,Positive,19,"  ok, onda molim neka ima neke dobre haltere i grudnjak."
208,399845270181400576,Negative,19,"u bosni i hercegovini oblačno vrijeme s kišom. više padavina očekuje se na jugu hercegovine, u zapadnom dijelu..."
209,399846453176045568,Negative,19,"ideja fudbalski ili nogometni ili rukometni ili kosarkaski klub da se zove ""proslost"" ))"
210,399847254871130113,Positive,19,"dobar, saren i vitaminski dan vam zelim )"
215,399847666756362240,Neutral,19,"  draži su mi neki veselijih boja, npr trave d"
218,399848111448682496,Positive,19,"i onda nakon svega kisa, lijep prizor s prozora."
219,399848371986628608,Positive,19, ti skidaš mi je oblačimo d cc 
220,399848505335771136,Positive,19,  i ja bih da skidam )
221,399848988695724032,Neutral,19,"kada krenu novembarske kiše, ima li šta ljepše nego se ušuškati s najdražom knjigom uz šolju toplog, izvornog,..."
224,399849305999413248,Negative,19,"   o argentinskom ""prljavom ratu"", katalonskim tenzijama o otcjepljenju, umjetničkim slobodama na kubi…"
225,399849348315353088,Negative,19,oluja poremetila planove hrvata pred meč baraža sa islandom    de  
226,399849534492114944,Negative,19,izvjesna miley cyrus zapalila džoint na stejdžu. to je vijest nad vijestima.
227,399849777124237312,Negative,19,miley cyrus plijeni pažnju svjetske javnosti još otkad je plazila jezik na stejdžu.
228,399850228620492800,Neutral,19,photoset
229,399850725145997313,Negative,19,odbijam da upalim svijetlo!
230,399850891521839104,Positive,19,  tu joj je barem toplije d
231,399850997385687040,Positive,19,  jos sjedim pored radijatora... taman za skidanja hahahahahahah
232,399851026486132736,Positive,19,"vlada češke ulaže u bh.mljekarstvo

svečano obilježavanje završetka projekta ""razvoj mljekarstva sjeveroistočne..."
233,399852129873330176,Negative,19,"i firer je bijesan kao i mnogi drugi fašisti, komunisti...))))"
234,399852165843255296,Neutral,19," ""sto se tice tristrama shandyja..."" )   via "
235,399852300253945856,Positive,19,novi projekti epbih  izgradnja he janjići 2015
236,399852408198955008,Negative,19,"tajfun ""haiyan"" stigao u vijetnam

tropska oluja haiyan, koja je odnijela desetine hiljada života na..."
237,399852451182182400,Neutral,19,sirijska koalicija pristala na ʽženevu 2ʼ
238,399852496740311040,Negative,19,snažan olujni vjetar srušio dio zgrade starog paromlina u zagrebu
241,399853673011892224,Neutral,19,je li svijet upoznao boljeg žonglera s fudbalskom loptom? (video)    jokes 
242,399853956920123392,Negative,19,foto neuspjele panoramske fotografije i sva ta morbidna bića  radiosarajevo via 
243,399856539055308800,Positive,19,"u dubaiju trenutno sunčano i toplo! )

pogledajte ponudu &gt;&gt;&gt;"
244,399856875468251136,Neutral,19,cas matematike traje cijelu vjecnost.
248,399859115721523200,Neutral,19,pa ko ce izdrzat jos jedan cas matematike.
249,399860028746002432,Neutral,19,posebno se ovo vidi kad je kisa na polju
251,399864022419255299,Positive,19,"istraživanje stanovnici bih žele miran život, nezavisnost rs -a i treći entitet   "
258,399865282321055744,Positive,19,"+tragovi mnogih drvenih civilizacija joj daju atmosferu muzeja grada. dođite i prošetajte kroz ""najveći muzej"" ikad!"
261,399865406925836288,Positive,19," +tragovi mnogih drvenih civilizacija joj daju atmosferu muzeja grada. dođite i prošetajte kroz ""najveći muzej"" ikad! h…"
267,399866276543475712,Negative,19,u zagrebu se srušio paromlin. strah me pomisliti šta sve jedna kvalitetna oluja može porušiti u bosni. a vi kako 'te?
272,399866888051642368,Negative,19,kad mi je tesko sjetim se da postoje starlete pa mi bude jos gore
275,399867274070204416,Negative,19,ubi ovo drvece po hrvatskoj..... (
276,399867470485676032,Positive,19,ko je ovdje gazda odmah  znas
277,399867537279963136,Negative,19,ne dao bog da budes u blizini kad se gazda naljuti
280,399867963357929473,Positive,19,impossibly insane winner by djokovic against wawrinka  via  ovo moze samo nole )
284,399868189024088064,Positive,19,"izuzetan tv! 5 godina garancija, 2 godine standardna + 3 godine nakon registracije. više o registraciji..."
288,399868318951428096,Negative,19,mrzzim zimu!
289,399868478020014080,Positive,19,rani radovi ovo je prvi sekin nastup na vašaru! - telegraf.rs  via  vendi je za nju institucija! hahaha d
293,399869288712245248,Positive,19,sestre iz perua tvrde da je machu pichu njihovo naslijeđe. hoću i ja malo te droge.
294,399869377035530240,Negative,19,brutalno pretučeni gejevi u beogradu
295,399869512993865728,Positive,19, hahahahahahah nece valjda...a nisam toliki ovisnik da nosim mob u wc... to je bilo nekad )
296,399869777600331776,Neutral,19,matematika nije ok kao obosba.
297,399869780091351040,Negative,19,messi zbog povrede propušta utakmicu protiv zmajeva?
298,399869789822136321,Positive,19,"ekopak postao 32 članica ""pro europe-a"", a bih 32.zemlja u ovom velikom sistemu"
300,399872890327146497,Neutral,19,lupa mi srce.
