,TweetID,HandLabel,AnnotatorID,Tweet
2,4.356787737493627e+17,Positive,33.0,25 kratica s kojima ćete postati gospodar računala  via 
4,4.3567893119553946e+17,Positive,33.0, sretno susjedi  slochi
5,4.356789483544289e+17,Negative,33.0," lik ima nade za tebe, jer i kruh se upljesnivi ;)"
8,4.356791216878387e+17,Positive,33.0,konferencija 'weboo 100% turizam' -weboo  webedukacija
10,4.356803318162432e+17,Negative,33.0,internet trgovine zatvaraju vrata malih lokalnih dućana
11,4.356805267507405e+17,Negative,33.0, ma nije to bas tako lako-) ali bit ce prilike nadam se
12,4.35680969144959e+17,Positive,33.0,cekam vas na 0800 2011 - besplatno je. nazovite i zatrazite pjesmu koju bi culi u glazbenom satu soundset plavog...
13,4.356812309659689e+17,Negative,33.0,"zbog španjolaca imamo onaj grozni cookie law, a sada bi oni i pretraživače odrali po džepu."
15,4.3568138664976794e+17,Positive,33.0,bio clinic day cream oriflame hrvatska croatia   croatia
16,4.356814168193884e+17,Negative,33.0,"vodni val prolazi kroz zagreb, novi problemi stižu u četvrtak"
17,4.3568173916461466e+17,Negative,33.0,licis mi na osobu koju jos uvijek zanima who let the dogs out
18,4.356818595369656e+17,Negative,33.0, daleko je
19,4.3568224793790874e+17,Positive,33.0, kings  dečki treba šečera? mlijeka? voda?
20,4.356823646821417e+17,Negative,33.0,"draga  bilo bi bolje da ste umjesto u automobilceke ulozili  u it, dopunsko web je down, strukturni osli na bibliju i ne vracaju se"
22,4.356830511215616e+17,Positive,33.0,seo optimizacija web stranica
27,4.356838484465459e+17,Neutral,33.0,"pratite li projekt coca - cola bloggers network adria i koji blog postovi i teme obrađene u njima, u protekla tri..."
28,4.356839510010798e+17,Neutral,33.0,predstoji li tržištu velika promjena?
30,4.3568402425040896e+17,Negative,33.0,stižu novi problemi/ vodni val iz slovenije upravo prolazi kroz zagreb
31,4.356848983731364e+17,Negative,33.0,moderna borba protiv smrzavanja. tko ima bolji prekrivač? )
32,4.3568491320837734e+17,Neutral,33.0, i razliku brutto netto
33,4.3568513164353536e+17,Negative,33.0,plaća od 18 tisuća kuna nije dovoljna - baldasar prekršio zakon uzimao džeparac od 4 tisuće kuna! |
36,4.356851526066504e+17,Positive,33.0,18 diy projekata koji će vam promijeniti pakiranje zauvijek
37,4.35685193760768e+17,Negative,33.0,sabor o poslovanju hrt-a izgubili čak 29 milijuna kuna
38,4.35685517716652e+17,Positive,33.0,dijelimo ovo zrnce mudrosti sonie choquette (koja dolazi u zagreb!) i nadamo da ćemo danas nedvosmisleno čuti...
41,4.3568610114433024e+17,Positive,33.0,    a i napalm death/hatebreed nije za bacit ) ima još koješta )
42,4.356861829831844e+17,Neutral,33.0,jesu li građani i poduzetnici dobro upoznati s načinom funkcioniranja eu fondova?
44,4.356869971315384e+17,Positive,33.0,"požurite, biti ce spektakl! "" u prodaji ulaznice za doigravanje  -a  cc  medvescakzg"
46,4.3568760096833126e+17,Positive,33.0,"vaša figura u novom ruhu
3 tretmana ultrazvučne kavitacije i
3 aparativne limfne drenaže
za 312 umjesto 1.560 kn..."
47,4.3568765210566246e+17,Positive,33.0,"želimo vam genijalan dan.

have a great day."
51,4.3568868810675814e+17,Positive,33.0,2 milijarde dolara za internet u 15 tisuća škola?
53,4.356898627513467e+17,Positive,33.0,"  gremo risi! sretno danas u ispisivanju povijesti, drzimo fige, samo hrabro i sve mozete! slochi zigzag"
55,4.3569074592077824e+17,Positive,33.0,mlade snage iz podruma - tomaž ščurek
56,4.35690790992769e+17,Positive,33.0,otvorena mrežna stranica za besplatnu pravnu pomoć građanima
57,4.356912970858537e+17,Positive,33.0,i'm at hrvatska knjižnica za slijepe (zagreb)
58,4.356921028452188e+17,Positive,33.0,"u četvrtak (20.2) u 14h u dvorani 14  organizira okrugli stol ""monetizacija autocesta"". dođite  efzg"
59,4.356926218018652e+17,Negative,33.0,"to kakve nam gadarije stavljaju u hranu je nevjerojatno! opasne kemikalije u svakodnevnoj prehrani,"
60,4.356927000885453e+17,Negative,33.0,ribić odgovara vladajućima/ 'poštuju ugovore samo kada je u pitanju njihova neproduktivna potrošnja'
61,4.3569296084045005e+17,Negative,33.0,"isuse ja se uzdam u tebe.

a zaboraviše ponijeti kruha; imali su samo jedan kruh sa sobom na lađi. nato ih isus..."
62,4.3569338914596864e+17,Negative,33.0, stižu novi problemi/ vodni val iz slovenije upravo prolazi kroz zagreb
64,4.356934203889705e+17,Negative,33.0,jutro krokodile  secera  i queen  milek
65,4.356936250630062e+17,Positive,33.0, carnet - novosti i press kutak - novosti - poziv na sudjelovanje na natječaju za izradu loga za projekt amores
66,4.356936555425997e+17,Positive,33.0,ac/dc planiraju novi album i turneju povodom 40. obljetnice rada
70,4.356945034131743e+17,Negative,33.0,"kada biraju zanimanje, samo 18% ispitanika brine koliko brzo će se zaposliti"
72,4.35694531963392e+17,Positive,33.0,malo arhive  kultnialbum
73,4.356947444300554e+17,Neutral,33.0," autorica tjedna na , o njoj govore  , , m.huljev i antonija /pavel"
74,4.356947900099707e+17,Positive,33.0,gradsko kazalište mladih u splitu slavi 70 godina
75,4.356948072988754e+17,Positive,33.0,"100happydays day15
sreća je imati 2 mladenke u kući. &lt;3"
77,4.3569495420399616e+17,Positive,33.0,"najave dana

manchester city - fc barcelona

napokon se nastavlja liga prvaka, a već večeras nas čeka sjajan..."
78,4.356953076160389e+17,Positive,33.0, hehehehe dogovoreno )
79,4.35695391976063e+17,Positive,33.0,"kylie minogue - ""prelistajte"" novi album uoči izlaska"
81,4.356960576624558e+17,Positive,33.0, test!
83,4.3569659823272755e+17,Neutral,33.0,"našim šorom prašina se diže, novi audi sa ministrom stiže o) bećarac + audi = bogatstvo baštine u lijepoj našoj o)"
84,4.35696911728001e+17,Positive,33.0,"počinju tečajevi male škole u ""vindoru"" )"
86,4.356969522911191e+17,Positive,33.0,"""obrazovanje je najveći kapital koji pojedinac može steći i nešto što vam nitko ne može oduzeti."""
87,4.356972945966367e+17,Positive,33.0,  sretan rođendan!!!! )
88,4.356974061605642e+17,Neutral,33.0,zašto neki ljudi nikada neće biti  via 
90,4.356979226597417e+17,Neutral,33.0, &amp;  nina upravo razgovaraju s elephant and the moon povodom giga na  u  !
91,4.3569817494749184e+17,Neutral,33.0,"kad ste odlučili postati ljevoruki tenisač?
- od prvog dana, čovječe. od kad sam se rodio."
93,4.356982534896435e+17,Positive,33.0,montevideo gdje se igra pravi nogomet ...
95,4.356983257704735e+17,Neutral,33.0,"u čemu ste najviše napredovali u igračkoj karijeri?
- ništa nisam morao popraviti, perfektan sam."
97,4.356988546089206e+17,Negative,33.0,"""odvjetnik u operi."" p |lažni odvjetnik šalje fantomske tužbe i naplaćuje ih po 100 kuna - večernji.hr"
98,4.356990769573642e+17,Positive,33.0,seo - optimizacija i web marketing
99,4.3569930745572966e+17,Positive,33.0,"ako još spavaš, probudi se. ako si tužan, nasmješi se. ako te netko osvaja i za ljubav moli... ti mu reci da..."
100,4.356996236265677e+17,Positive,33.0,"ako još spavaš, probudi se. ako si tužan, nasmješi se. ako te netko osvaja i za ljubav moli... ti mu reci da..."
101,4.356996710343803e+17,Positive,33.0,50. rođendan satiričkog kazališta “kerempuh”.  što smo vam sve pripremili saznajte klikom na
102,4.356996730686136e+17,Negative,33.0,'mi smo njihove žrtve'/ hdz od sanadera i društva traži 50 milijuna kuna!
106,4.357001492731167e+17,Positive,33.0,sjećate se futurističkih tenisica iz povratka u budućnost? uskoro će postati stvarnost
107,4.35700180365484e+17,Positive,33.0,"svjetski putnici odabrali najbolji ""kaerodrom na svijetu (foto) | cool klub"
108,4.3570025670220186e+17,Positive,33.0,doznajte kako su nastala imena nekih od najjačih modnih kuća u svijetu
111,4.357005858246615e+17,Positive,33.0,karen o i spike jonze zajedno izveli 'the moon song'
113,4.3570113565218406e+17,Positive,33.0,zagreb 0800 123 123 prvi besplatni sos telefon za suicidalne osobe!
115,4.3570138531774054e+17,Positive,33.0,"four points by sheraton panorama hotel zagreb, zagreb, croatia   croatia"
116,4.3570200415830426e+17,Positive,33.0, zagreb 0800 123 123 prvi besplatni sos telefon za suicidalne osobe!
117,4.357020407997727e+17,Positive,33.0,nastavlja se britanski natječaj za nastup na inmusic festivalu
118,4.357025262355169e+17,Positive,33.0, vidjela )
119,4.357027451660206e+17,Positive,33.0, izložba `venti per una` - pogled u suvremenu talijansku umjetnost /  klovicevidvori ventiperuna zagr…
120,4.357028511770337e+17,Neutral,33.0, tko je desno?
122,4.35703292476543e+17,Positive,33.0,idem po novi rolling stone tralala sreca
124,4.3570331645077504e+17,Positive,33.0,dječji biseri - obitelj - emocije - ladylike
125,4.357035465796649e+17,Positive,33.0,"""gori"" u međunarodnoj konkurenciji 10. -a. više o filmu na  i foršpan filma"
126,4.3570390576726426e+17,Negative,33.0,ček tek je utorak?
127,4.3570392570280346e+17,Neutral,33.0,sid je nosio tange prije tangi. mrdoguz &gt; sid vicious - something else  via 
128,4.35704214832939e+17,Positive,33.0,video nećete vjerovati što su napravili čakovčani ova se snimka munjevito širi internetom
129,4.3570426302971494e+17,Positive,33.0,koncert zbora i simfonijskog orkestra hrt-a
130,4.357042686332969e+17,Positive,33.0,gradsko kazalište mladih u splitu slavi 70. obljetnicu
