,TweetID,HandLabel,AnnotatorID,Tweet
0,3.94804506749567e+17,Neutral,21.0, koima sta da im dozvoli...budalastine
1,3.948052098449408e+17,Negative,21.0,u ovom busu svi nešto kašlju
2,3.9480576904595046e+17,Positive,26.0,zašto je važno da uvek imate bočicu vode sa sobom? ~  voda zdravlje hidratacija
3,3.9480632895616205e+17,Positive,26.0,51. međunarodni sajam nameštaja u beogradu  via 
4,3.948067736282849e+17,Positive,25.0, hvala vama )
7,3.948078718351032e+17,Neutral,26.0,u sedištu  u toku sastanak rukovodstva  i liberala o budućoj saradnji &gt;&gt;
8,3.948089739475927e+17,Neutral,21.0, ovog ponedeljka na kafi sa biljanom lukić 
9,3.9481004859079885e+17,Negative,21.0,nadam se da ce glavobolja da mi prodje do sledece godine
13,3.948122668914442e+17,Neutral,26.0,poziv za formiranje mreže arhus poverenika arhus centar južne i istočne srbije objavio javni…
14,3.948131145766953e+17,Neutral,21.0,biblioteka milutin bojić i  u četvrtak u 19h organizuju tribinu šta je čovek? put od duše do neba u islamu
16,3.948149846029312e+17,Negative,26.0,oskrnavili katedralu pozirali goli ispred dubrovačke svetinje!
18,3.9481861260876595e+17,Neutral,26.0,džidžin otac ne želi štene od mikija neka ga čuva onaj ko ga je doneo!  farma5 farma
22,3.9482007622375424e+17,Negative,26.0,"u 1500 počinjem sa učenjem, ko me bude zvao, slao poruke ili bilo šta slično, dobiće nabod u glavu."
24,3.94821630385324e+17,Positive,21.0,asus reklama za najnoviji model u nasoj ponudi asus transformer book t100...
25,3.948222336608502e+17,Positive,21.0,volim čokoladu bez suvog groždja.
26,3.9482249886212915e+17,Positive,27.0,meni je marko sad ulepšao ceo daaaaaan ^^^^^^^^
28,3.9482303684909875e+17,Positive,26.0,cula sam da je moguce da potpuno odrastes. samo sto jos nisam upoznala onoga  ko jeste..
31,3.948238382711685e+17,Neutral,26.0,ovakav london sigurno niste videli
33,3.948250889958482e+17,Positive,21.0,novovaroška pijaca dobija objekat za mlečne proizvode do kraja novembra 2013.+ mlecniproizvodi
35,3.948264133515141e+17,Neutral,26.0,"ta neka prica o gej zmaju koji je krao princeve, kao objasnjenje gde su nestali svi i zasto su princeze same."
40,3.948287773535109e+17,Negative,21.0,glavni problem srbije je to sto svaki bolid dobija medijsku paznju kao najveci genije.
41,3.94830050127659e+17,Neutral,26.0,upoznajte najhladnije mesto u svemiru
42,3.948304302326661e+17,Neutral,26.0, sećaš li se draga kad smo ovde soka pili miiiiii
44,3.9483242162067866e+17,Positive,21.0,žulio resende i maria žoao na 29. bdžf putovanje kroz portugalsku muziku »   via 
45,3.9483368044078694e+17,Negative,26.0,pucacu sebi u glavu. elektrotehnika
48,3.948344556991447e+17,Neutral,25.0," ovakvo vreme ce biti do februara,a onda ocekujemo otopljenje!"
49,3.948348561625211e+17,Positive,26.0,sve pare dajem na putovanja 4
50,3.948352757061673e+17,Neutral,26.0,farmadžidža vratila mikijev poklon!  farma5 farma
56,3.948400150221947e+17,Positive,21.0," niall vozilo 159 za 3 min,
  i ovo ti je 10-ta gratis vožnja biće na račun ."
58,3.948414227732398e+17,Neutral,26.0, šalji slikeeeeeeee
59,3.9484185399423795e+17,Positive,27.0," odeća, obuća, igračke koje vi više ne koristite usrećiće one koji to sebi ne mogu da priušte! akcija, 26.10. do 17.11.htt…"
62,3.94843307299201e+17,Positive,26.0,vučić dobi sve šahovske partije u avionu. očekujem da sledeće proleće bude rekorder u troskoku))
64,3.94844916016513e+17,Negative,21.0, uvek pomislim kako sam negde stigla u smirenju a onda me bole bezrazlozne uvrede i malicioznost glupagordostmoja
68,3.948466944555336e+17,Negative,26.0," hvala vam najlepše, ovo što oni rade nema više nikakvog smisla, zaista."
71,3.9484846712397414e+17,Positive,21.0,"koja orginalnost,wooooow"
73,3.948491864089764e+17,Negative,26.0,neverovatno brz demanti policije oko (ne)privođenja osmanija
74,3.9484966083129344e+17,Negative,25.0, vučić dobi sve šahovske partije u avionu. očekujem da sledeće proleće bude rekorder u troskoku))
76,3.948500163988152e+17,Negative,26.0,jedino mogu da štedim na slovima u tvitovima.
79,3.948518791819018e+17,Positive,27.0,nije svako ko je otišao u holivud uspeo da snimi film i postane poznat. tako je i u ljubavi.
80,3.948523943011492e+17,Negative,21.0,koliko sam je pre gotivila i volela sad mi se povraca kad je vidim
81,3.948529350555976e+17,Positive,26.0,ljajić došao sam u sjajnu ekipu
83,3.948536806564168e+17,Negative,25.0," verujem, glupa administracija nista drugo"
84,3.948541897778176e+17,Neutral,26.0," do juce niko nije znao za nju,  a sada svima iz dupeta viri"
86,3.948546456860754e+17,Neutral,26.0,ekspedicija koja je sprovedena u zabačenom delu australije otkrila je tri nove vrste kičmenjaka koje su bile...
87,3.948554641080484e+17,Neutral,21.0," iskreno,sve sto si napisao je tacno,svaki profi instruktor bi isto napisao....izostavio si da treba da probusi kasiku"
91,3.948579750780723e+17,Positive,26.0,"dragi moji instagramaši, svet gitara je od danas na instagramu, pa vas molim da zapratite nalog  &lt;3"
92,3.948592211558605e+17,Neutral,21.0, vojvode stepe 413đ kod pekare blagoje naselje stepa stepanovic
93,3.9486064375012966e+17,Neutral,26.0,i liked a  video  majke a ti još plačeš
94,3.9486113947951104e+17,Positive,26.0,"nova godina u holandiji - amsterdam

grad poznat kao muzej na otvorenom, riznica znamenitih građevina i..."
97,3.948624322688778e+17,Negative,26.0,udao sam cerku ostao sam suva kurca ahahah auu jebote zivot
99,3.9486435435861606e+17,Negative,21.0,"ima curu 4 godine hoce da je ozeni, a peder vec 2 godine... ne zadovoljava ga dobro cim svrsi u cetrdeset i devetoj sekundi"
101,3.9486507479323034e+17,Positive,26.0," ovo je premudra misao, vec sutra pocinjem da oblecem porodilista, genijalno"
102,3.948654310658089e+17,Negative,25.0,kontakt sa bivsom ljubavi je kao da jedes slatkis sa isteklim rokom trajanja
104,3.948675620909957e+17,Negative,21.0,nove žrtve nevremena na zapadu i severu evrope. najmanje osam nastradalih   saintjude
105,3.948680976914432e+17,Negative,21.0,kasnije u zivotu cu ljubavi da ti ppdmecem otrov u viski
106,3.94868421789483e+17,Neutral,26.0,"hrvatska „ruska“ ćirilica da, „srpska“ ne!"
